region_id,area,population,pop_density
ck,20891,1291135,61.8
cn,31851,1104241,34.67
cv,8094,903782,111.67
dn,26506,4448031,167.81
dp,31901,3344073,104.83
if,13894,1380770,99.38
kh,31402,2755177,87.74
kiev,28119,1719602,61.15
ks,28449,1091151,38.35
lg,26673,2300412,86.25
lviv,21824,2545634,116.65
mk,24587,1186452,48.25
od,33296,2387636,71.71
pl,28736,1493668,51.98
rv,20039,1152576,57.52
sm,23824,1166765,48.97
te,13817,1086694,78.65
uz,12772,1246323,97.59
vn,26502,1646250,62.12
volyn,20135,1038223,51.56
zp,27169,1805431,66.45
zt,29819,1283201,43.03
